####################
# Startup Complete #
####################
#{"device_name": "ECE362CarTeam07",
#  "pid": [0.450000,0.060000,0.000000]
#}
#{"csv": "
time (ms), bus_voltage (mV), shunt_voltage (V), load_voltage (V), total_current (mA), power (mW), arrowX (px), steering %, speed setting 
10547, 11.788, 130.740, 11.919, 1353.900, 16024.000, -32, 14, 5
10555, 11.780, 128.820, 11.909, 1406.000, 16614.000, -32, 14, 4
10563, 11.776, 153.750, 11.930, 1540.500, 17650.000, -32, 14, 5
10571, 11.768, 151.330, 11.919, 1421.900, 16670.000, -32, 14, 4
10578, 11.748, 139.930, 11.888, 1325.500, 15582.000, -32, 14, 5
10586, 11.768, 126.610, 11.895, 1247.800, 15536.000, -32, 14, 4
10594, 11.788, 122.480, 11.910, 1350.100, 15982.000, -32, 14, 5
10602, 11.840, 135.380, 11.975, 1397.100, 15810.000, -32, 14, 4
10610, 11.832, 139.820, 11.972, 1246.100, 14680.000, -32, 14, 5
10618, 11.788, 133.380, 11.921, 1261.700, 14858.000, -32, 14, 4
10626, 11.780, 124.350, 11.904, 1322.800, 16574.000, -32, 14, 5
10634, 11.792, 136.830, 11.929, 1357.500, 16050.000, -32, 14, 4
10642, 11.812, 137.550, 11.950, 1270.000, 14966.000, -32, 14, 5
10650, 11.776, 129.640, 11.906, 1210.700, 14592.000, -32, 14, 4
10658, 11.792, 121.250, 11.913, 1357.600, 16070.000, -32, 14, 5
10666, 11.836, 139.880, 11.976, 1323.000, 15620.000, -32, 14, 4
10674, 11.808, 131.670, 11.940, 1239.400, 14382.000, -32, 14, 5
10681, 11.780, 120.580, 11.901, 1360.700, 16106.000, -32, 14, 4
10689, 11.832, 135.460, 11.967, 1335.500, 14920.000, -32, 14, 5
10697, 11.776, 131.940, 11.908, 1218.600, 14356.000, -32, 14, 4
10705, 11.780, 121.300, 11.901, 1338.300, 15846.000, -32, 14, 5
10713, 11.804, 135.360, 11.939, 1270.400, 14116.000, -32, 14, 4
10721, 11.768, 119.260, 11.887, 1335.800, 15818.000, -32, 14, 5
10729, 11.836, 135.360, 11.971, 1336.500, 15764.000, -32, 14, 4
10737, 11.772, 123.150, 11.895, 1249.300, 15772.000, -32, 14, 5
10745, 11.824, 131.900, 11.956, 1331.500, 15702.000, -32, 14, 4
10753, 11.780, 118.480, 11.898, 1239.200, 14618.000, -32, 14, 5
10761, 11.836, 134.290, 11.970, 1330.800, 14016.000, -32, 14, 4
10769, 11.764, 118.600, 11.883, 1351.600, 16008.000, -32, 14, 5
10776, 11.792, 132.200, 11.924, 1206.000, 14690.000, -32, 14, 4
10784, 11.816, 127.330, 11.943, 1320.200, 15574.000, -32, 14, 5
10792, 11.780, 128.840, 11.909, 1289.500, 15238.000, -32, 14, 4
10800, 11.840, 133.120, 11.973, 1279.400, 14024.000, -32, 14, 5
10808, 11.792, 119.730, 11.912, 1346.600, 15946.000, -32, 14, 4
10816, 11.772, 127.550, 11.900, 1177.500, 13884.000, -32, 14, 5
10824, 11.848, 133.170, 11.981, 1318.000, 14596.000, -32, 14, 4
10832, 11.784, 115.000, 11.899, 1333.500, 15804.000, -32, 14, 5
10840, 11.776, 131.690, 11.908, 1232.900, 14520.000, -32, 14, 4
10848, 11.828, 134.980, 11.963, 1383.400, 15558.000, -32, 14, 5
10856, 11.788, 122.470, 11.910, 1360.200, 16100.000, -32, 14, 4
10863, 11.812, 134.820, 11.947, 1237.000, 14242.000, -32, 14, 5
10871, 11.792, 123.250, 11.915, 1341.900, 15726.000, -32, 14, 4
10879, 11.788, 130.240, 11.918, 1293.700, 15280.000, -32, 14, 5
10887, 11.848, 134.020, 11.982, 1316.900, 13960.000, -32, 14, 4
10895, 11.788, 121.300, 11.909, 1330.700, 15752.000, -32, 14, 5
10903, 11.784, 127.370, 11.911, 1221.200, 14386.000, -32, 14, 4
10911, 11.848, 137.830, 11.986, 1353.300, 14454.000, -32, 14, 5
10919, 11.788, 120.480, 11.908, 1368.500, 16204.000, -32, 14, 4
10927, 11.764, 123.510, 11.888, 1245.700, 14660.000, -32, 14, 5
10935, 11.848, 137.190, 11.985, 1284.900, 14006.000, -32, 14, 4
10943, 11.792, 124.270, 11.916, 1341.900, 15860.000, -32, 14, 5
10951, 11.784, 119.000, 11.903, 1290.500, 15248.000, -32, 14, 4
10990, 11.856, 134.000, 11.990, 1227.300, 14454.000, -32, 14, 5
10998, 11.812, 132.320, 11.944, 1362.100, 15346.000, -32, 14, 4
11006, 11.776, 121.200, 11.897, 1330.900, 15758.000, -32, 14, 5
11014, 11.856, 133.460, 11.989, 1164.200, 13714.000, -32, 14, 4
11022, 11.836, 132.580, 11.969, 1319.000, 14514.000, -32, 14, 5
11030, 11.780, 114.310, 11.894, 1342.300, 15900.000, -32, 14, 4
11037, 11.784, 124.640, 11.909, 1168.200, 13766.000, -32, 14, 5
11045, 11.852, 133.190, 11.985, 1327.000, 14330.000, -32, 14, 4
11053, 11.784, 117.750, 11.902, 1332.400, 15782.000, -32, 14, 5
11061, 11.784, 121.690, 11.906, 1229.500, 14504.000, -32, 14, 4
11069, 11.836, 132.410, 11.968, 1281.000, 14058.000, -32, 14, 5
11077, 11.808, 123.950, 11.932, 1314.400, 15526.000, -32, 14, 4
11085, 11.788, 127.230, 11.915, 1270.300, 15004.000, -32, 14, 5
11093, 11.800, 130.440, 11.930, 1219.300, 14270.000, -32, 14, 4
11101, 11.816, 132.520, 11.949, 1353.100, 15918.000, -32, 14, 5
11108, 11.776, 125.440, 11.901, 1375.300, 16282.000, -32, 14, 4
11116, 11.784, 125.930, 11.910, 1170.800, 15526.000, -32, 14, 5
11124, 11.848, 131.640, 11.980, 1182.000, 13934.000, -32, 14, 4
11132, 11.848, 137.080, 11.985, 1316.100, 15516.000, -32, 14, 5
11140, 11.792, 119.380, 11.911, 1322.200, 15686.000, -32, 14, 4
11148, 11.780, 125.500, 11.905, 1301.400, 15398.000, -32, 14, 5
11156, 11.780, 129.240, 11.909, 1201.300, 14152.000, -32, 14, 4
11164, 11.840, 131.590, 11.972, 1327.900, 13634.000, -32, 14, 5
11172, 11.796, 124.200, 11.920, 1294.500, 15250.000, -32, 14, 4
11180, 11.812, 124.710, 11.937, 1352.500, 16030.000, -32, 14, 5
11926, 11.860, 121.920, 11.982, 1086.000, 12820.000, 8, -4, 4
11934, 11.812, 108.120, 11.920, 1227.000, 14490.000, 8, -4, 5
11942, 11.628, 180.300, 11.808, 1891.300, 20032.000, 8, -4, 4
11950, 11.632, 165.480, 11.797, 1760.100, 20468.000, 8, -4, 5
12924, 11.824, 122.180, 11.946, 1259.300, 14986.000, 0, 0, 4
