time (ms), packet_id, bus voltage (V), total_current (mA), power (mW), loop time (ms) 
21499,239,11.704,651.3,7622,43
21549,240,11.708,622,7282,43
21599,241,11.704,628.2,7356,43
21649,242,11.7,633.3,7412,43
21699,243,11.7,671.9,7330,43
21749,244,11.712,614.6,7200,43
21799,245,11.704,630.4,7458,43
21849,246,11.712,622.1,7288,43
21899,247,11.724,576.5,6918,43
21949,248,11.724,589.9,6918,43
21999,249,11.712,621.1,7268,43
22049,250,11.708,618.7,7248,43
22099,251,11.716,611.5,7164,43
22149,252,11.724,618.7,7246,43
22199,253,11.712,614.1,7186,43
22249,254,11.712,602.5,7264,43
22299,255,11.716,616.9,7228,43
22349,256,11.72,590,6730,43
22399,257,11.716,613.5,7186,43
22449,258,11.716,620.4,7104,43
22499,259,11.72,617,7228,43
22549,260,11.708,600,7228,43
22599,261,11.724,561.2,6584,43
22649,262,11.708,626.5,7340,43
22699,263,11.728,574.8,6740,43
22749,264,11.728,572.4,6712,43
22799,265,11.708,599.4,6856,43
22849,266,11.72,619.3,7262,43
22899,267,11.712,600.1,7218,43
22949,268,11.72,565.6,6632,43
22999,269,11.716,608.4,7186,43
23049,270,11.728,612.6,7176,43
23099,271,11.724,596.8,7072,43
23149,272,11.724,619.8,7268,43
23199,273,11.716,577.7,6770,43
23249,274,11.712,615.7,7182,43
23299,275,11.728,582.9,6842,43
23349,276,11.72,600.6,7226,43
23399,277,11.716,609.3,7144,43
23449,278,11.72,581.7,6832,43
23499,279,11.716,613.8,7190,43
23549,280,11.72,565.3,6792,43
23599,281,11.724,584.3,6852,43
23649,282,11.724,566.2,6638,43
23699,283,11.716,619.7,7252,43
23749,284,11.716,625.6,7328,43
23799,285,11.732,574.6,6838,43
23849,286,11.7,634.3,7428,43
23899,287,11.728,573,6698,43
23949,288,11.732,565.2,6626,43
23999,289,11.716,605.4,7166,43
24049,290,11.724,609.3,7140,43
24099,291,11.724,582,6924,43
24149,292,11.724,580.4,6806,43
24199,293,11.712,601.7,7048,43
24249,294,11.708,611.6,7274,43
24299,295,11.724,576,6756,43
24349,296,11.72,576.8,6852,43
24399,297,11.732,578.7,6786,43
24449,298,11.716,607.5,7012,43
24499,299,11.732,580.1,6800,43
24549,300,11.728,560.1,6750,43
24599,301,11.716,595.2,6970,43
24649,302,11.708,605.5,7094,43
24699,303,11.728,576.5,6756,43
24749,304,11.712,610.7,7156,43
24799,305,11.728,587.2,7200,43
24849,306,11.716,596.8,6992,43
24899,307,11.732,565.9,6632,43
24949,308,11.732,572.3,6712,43
24999,309,11.724,578.9,6766,43
25049,310,11.716,612.3,7174,43
25099,311,11.724,579.1,6790,43
25149,312,11.72,577.8,6774,43
25199,313,11.708,610.7,7154,43
25249,314,11.724,624.3,7238,43
25299,315,11.716,610,7144,43
25349,316,11.712,578.1,6956,43
25399,317,11.716,611,7160,43
25449,318,11.716,618.5,6828,43
25499,319,11.728,575,6740,43
25549,320,11.716,607.1,7118,43
25599,321,11.712,614.9,7206,43
25649,322,11.728,569.6,6682,43
25699,323,11.724,572.6,6940,43
25749,324,11.724,568,6658,43
25799,325,11.728,570.7,6838,43
25849,326,11.716,616.2,7216,43
25899,327,11.724,579.2,6796,43
25949,328,11.72,598.4,7016,43
25999,329,11.72,577.2,6866,43
26049,330,11.716,572.7,6718,43
26099,331,11.72,558.2,6540,43
26149,332,11.704,633.3,7088,43
26199,333,11.724,578.2,6780,43
26249,334,11.716,596.1,7058,43
26299,335,11.724,587.8,6888,43
26349,336,11.716,592.6,7020,43
26399,337,11.72,594,6964,43
26449,338,11.72,587.9,6806,43
26499,339,11.712,621.6,7278,43
26549,340,11.716,577.7,6770,43
26599,341,11.708,620.3,7164,43
26649,342,11.724,583.5,6842,43
26699,343,11.724,583.6,7042,43
26749,344,11.716,599.5,7026,43
26799,345,11.72,575.5,6796,43
26849,346,11.712,611.9,7170,43
26899,347,11.72,585.5,6862,43
26949,348,11.712,610.6,7154,43
26999,349,11.72,587.3,6884,43
27049,350,11.716,592,6918,43
27099,351,11.716,604.3,7082,43
27149,352,11.72,587.3,6822,43
27199,353,11.724,590.9,6924,43
27249,354,11.704,619.1,7314,43
27299,355,11.72,594.2,6966,43
27349,356,11.724,591.3,6930,43
27399,357,11.72,586.3,6874,43
27449,358,11.716,579.9,6796,43
27499,359,11.716,588.3,6946,43
27549,360,11.724,591.4,6934,43
27599,361,11.72,590.7,6888,43
27649,362,11.724,584.2,6846,43
27699,363,11.708,603.1,7100,43
27749,364,11.708,631.5,7396,43
27799,365,11.716,579.7,6796,43
27849,366,11.716,601.8,7052,43
27899,367,11.72,590.5,6920,43
27949,368,11.716,595.1,6966,43
27999,369,11.716,594.3,6966,43
28049,370,11.716,598.5,6990,43
28099,371,11.716,598.1,7006,43
28149,372,11.716,593.1,6964,43
28199,373,11.72,593.7,6956,43
28249,374,11.704,610.1,7146,43
28299,375,11.72,585.3,6858,43
28349,376,11.72,583.9,6842,43
28399,377,11.716,594.5,6990,43
28449,378,11.724,587.9,6892,43
28499,379,11.728,558.6,6498,43
28549,380,11.7,635.1,7436,43
28599,381,11.712,598.9,6970,43
28649,382,11.716,617.2,7226,43
28699,383,11.716,596.5,6992,43
28749,384,11.72,596.7,6908,43
28799,385,11.72,592.7,6946,43
28849,386,11.716,587.8,6928,43
28899,387,11.72,595.2,6974,43
28949,388,11.72,591.2,7092,43
28999,389,11.72,593.8,6964,43
29049,390,11.712,595.9,6982,43
29099,391,11.72,601.9,7058,43
29149,392,11.716,597.3,7000,43
29199,393,11.716,584.1,6754,43
29249,394,11.72,602.7,7064,43
29299,395,11.704,638.2,7012,43
29349,396,11.716,607,7110,43
29399,397,11.72,600.8,6934,43
29449,398,11.716,597.4,7002,43
29499,399,11.712,603.5,7068,43
29549,400,11.712,607.7,7088,43
29599,401,11.712,600.2,7028,43
29649,402,11.712,603.8,7052,43
29699,403,11.72,600.5,7036,43
29749,404,11.716,605.6,7036,43
29799,405,11.72,594.1,6966,43
29849,406,11.716,602.2,7056,43
29899,407,11.72,589.4,6904,43
29949,408,11.716,592.1,6938,43
29999,409,11.712,601.6,7012,43
30049,410,11.716,603.6,7072,43
30099,411,11.716,604.9,7098,43
30149,412,11.712,604.6,7084,43
