####################
# Startup Complete #
####################
time (ms), bus_voltage (mV), shunt_voltage (V), load_voltage (V), total_current (mA), power (mW)
23517, 7.832, 88.460, 7.920, 917.500, 7200.000, 0.000
23589, 7.832, 89.040, 7.921, 918.300, 7272.000, 0.000
23661, 7.824, 93.010, 7.917, 905.100, 7098.000, 0.000
23733, 7.784, 101.630, 7.886, 1005.000, 7808.000, 0.000
23805, 7.812, 94.400, 7.906, 909.100, 7196.000, 0.000
23877, 7.820, 90.380, 7.910, 917.300, 6964.000, 0.000
23949, 7.824, 89.380, 7.913, 919.400, 7068.000, 0.000

24021, 7.792, 96.500, 7.888, 927.000, 7408.000, 0.000
24093, 7.828, 91.010, 7.919, 917.200, 7292.000, 0.000
24165, 7.832, 90.780, 7.923, 936.700, 7254.000, 0.000
24237, 7.816, 92.190, 7.908, 890.900, 7192.000, 0.000
24309, 7.820, 91.520, 7.912, 945.900, 7052.000, 0.000
24381, 7.820, 89.460, 7.909, 956.400, 7688.000, 0.000
24453, 7.832, 92.290, 7.924, 921.900, 7500.000, 0.000
24525, 7.824, 87.790, 7.912, 919.800, 7048.000, 0.000
24597, 7.824, 91.890, 7.916, 886.500, 7242.000, 0.000
24669, 7.832, 90.210, 7.922, 923.400, 6720.000, 0.000
24741, 7.820, 90.470, 7.910, 879.900, 6904.000, 0.000
24813, 7.828, 88.440, 7.916, 944.600, 7396.000, 0.000
24885, 7.816, 92.330, 7.908, 884.100, 7114.000, 0.000
24957, 7.828, 90.060, 7.918, 934.300, 6878.000, 0.000
25029, 7.820, 95.360, 7.915, 925.500, 7228.000, 0.000
25101, 7.820, 88.390, 7.908, 919.300, 7596.000, 0.000
25173, 7.812, 95.170, 7.907, 952.900, 7300.000, 0.000
25244, 7.844, 83.470, 7.927, 855.900, 6702.000, 0.000
25315, 7.776, 104.770, 7.881, 1069.200, 8310.000, 0.000
25386, 7.776, 98.100, 7.874, 949.900, 7392.000, 0.000
25457, 7.748, 106.480, 7.854, 1128.800, 8890.000, 0.000
25528, 7.596, 156.310, 7.752, 1508.700, 11558.000, 0.000
25600, 7.600, 151.020, 7.751, 1537.100, 11668.000, 0.000
25672, 7.784, 98.050, 7.882, 1025.500, 7982.000, 0.000
25744, 7.792, 97.280, 7.889, 969.200, 7556.000, 0.000
25816, 7.832, 87.750, 7.920, 779.600, 6114.000, 0.000
25888, 7.840, 87.310, 7.927, 831.700, 6512.000, 0.000
25960, 7.876, 77.780, 7.954, 814.500, 6400.000, 0.000
26032, 7.784, 98.810, 7.883, 1092.800, 8484.000, 0.000
26104, 7.864, 69.960, 7.934, 804.000, 6318.000, 0.000
26176, 7.824, 82.370, 7.906, 855.000, 6712.000, 0.000
26248, 7.852, 75.850, 7.928, 796.200, 6256.000, 0.000
26320, 7.856, 70.070, 7.926, 807.200, 6344.000, 0.000
26392, 7.856, 81.240, 7.937, 840.000, 6596.000, 0.000
26464, 7.844, 76.280, 7.920, 828.500, 6508.000, 0.000
26536, 7.860, 82.030, 7.942, 797.800, 6286.000, 0.000
26608, 7.856, 83.300, 7.939, 775.100, 6086.000, 0.000
26680, 7.848, 83.180, 7.931, 816.400, 6406.000, 0.000
26752, 7.836, 80.260, 7.916, 843.600, 6612.000, 0.000
26824, 7.840, 85.890, 7.926, 854.000, 6692.000, 0.000
26896, 7.848, 84.800, 7.933, 849.300, 6658.000, 0.000
26968, 7.852, 83.190, 7.935, 825.000, 6472.000, 0.000
27040, 7.848, 87.700, 7.936, 872.600, 6846.000, 0.000
27112, 7.844, 89.460, 7.933, 873.100, 6852.000, 0.000
27184, 7.848, 87.640, 7.936, 879.300, 6894.000, 0.000
27256, 7.844, 83.000, 7.927, 896.900, 7026.000, 0.000
27328, 7.836, 88.250, 7.924, 850.700, 6672.000, 0.000
27400, 7.840, 87.620, 7.928, 864.700, 6776.000, 0.000
27472, 7.828, 90.220, 7.918, 855.300, 6708.000, 0.000
27544, 7.832, 88.580, 7.921, 859.300, 6738.000, 0.000
27616, 7.832, 88.430, 7.920, 864.000, 6764.000, 0.000
27688, 7.828, 90.170, 7.918, 856.900, 6714.000, 0.000
27760, 7.836, 89.680, 7.926, 872.000, 6838.000, 0.000
27832, 7.836, 87.560, 7.924, 873.100, 6832.000, 0.000
27904, 7.836, 87.550, 7.924, 860.100, 6734.000, 0.000
27976, 7.836, 83.780, 7.920, 895.600, 7020.000, 0.000
28048, 7.828, 83.520, 7.912, 883.100, 6920.000, 0.000
28120, 7.844, 88.260, 7.932, 834.400, 6534.000, 0.000
28192, 7.832, 88.430, 7.920, 827.000, 6478.000, 0.000
28264, 7.840, 82.390, 7.922, 869.900, 6828.000, 0.000
28336, 7.844, 84.600, 7.929, 870.700, 6826.000, 0.000
28408, 7.848, 86.310, 7.934, 875.500, 6874.000, 0.000
28480, 7.840, 85.300, 7.925, 828.200, 6502.000, 0.000
28552, 7.864, 83.490, 7.947, 833.800, 6554.000, 0.000
28624, 7.840, 85.520, 7.926, 880.600, 6908.000, 0.000
28696, 7.836, 86.150, 7.922, 843.100, 6620.000, 0.000
28768, 7.856, 85.920, 7.942, 854.300, 6712.000, 0.000
28840, 7.860, 85.090, 7.945, 854.100, 6702.000, 0.000
28912, 7.844, 85.160, 7.929, 873.100, 6848.000, 0.000
28984, 7.812, 92.350, 7.904, 895.000, 7002.000, 0.000
29056, 7.852, 82.500, 7.935, 843.200, 6622.000, 0.000
29127, 7.748, 112.300, 7.860, 1086.000, 8414.000, 0.000
29198, 7.640, 136.050, 7.776, 1225.000, 9434.000, 0.000
29270, 7.616, 152.020, 7.768, 1535.400, 11678.000, 0.000
29342, 7.836, 87.990, 7.924, 889.400, 6734.000, 0.000
29414, 7.848, 89.200, 7.937, 849.700, 6432.000, 0.000
29486, 7.816, 90.480, 7.906, 915.300, 6996.000, 0.000
29558, 7.824, 85.330, 7.909, 906.500, 7104.000, 0.000
29630, 7.736, 109.950, 7.846, 1104.700, 8704.000, 0.000
29702, 7.844, 89.250, 7.933, 887.400, 6554.000, 0.000
29774, 7.836, 85.440, 7.921, 890.500, 6924.000, 0.000
29846, 7.832, 90.620, 7.923, 918.600, 7144.000, 0.000
